Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age Group
Donald Sloan,Brooklyn Nets,15,PG,28,171,205,Texas A&M,947276.0,20-30
Thaddeus Young,Brooklyn Nets,30,PF,27,163,221,Georgia Tech,11235955.0,20-30
Arron Afflalo,New York Knicks,4,SG,30,161,210,UCLA,8000000.0,30-40
Lou Amundson,New York Knicks,17,PF,33,169,220,UNLV,1635476.0,30-40
Thanasis Antetokounmpo,New York Knicks,43,SF,23,166,205,,30888.0,20-30
Carmelo Anthony,New York Knicks,7,SF,32,161,240,Syracuse,22875000.0,30-40
Jose Calderon,New York Knicks,3,PG,34,175,200,,7402812.0,30-40
Cleanthony Early,New York Knicks,11,SF,25,157,210,Wichita State,845059.0,20-30
Langston Galloway,New York Knicks,2,SG,24,156,200,Saint Joseph's,845059.0,20-30
Jerian Grant,New York Knicks,13,PG,23,178,195,Notre Dame,1572360.0,20-30
Robin Lopez,New York Knicks,8,C,28,179,255,Stanford,12650000.0,20-30
Kyle O'Quinn,New York Knicks,9,PF,26,166,250,Norfolk State,3750000.0,20-30
Kristaps Porzingis,New York Knicks,6,PF,20,174,240,,4131720.0,20-30
Kevin Seraphin,New York Knicks,1,C,26,171,278,,2814000.0,20-30
Lance Thomas,New York Knicks,42,SF,28,160,235,Duke,1636842.0,20-30
Sasha Vujacic,New York Knicks,18,SG,32,178,195,,947276.0,30-40
Derrick Williams,New York Knicks,23,PF,25,164,240,Arizona,4000000.0,20-30
Tony Wroten,New York Knicks,5,SG,23,165,205,Washington,167406.0,20-30
Elton Brand,Philadelphia 76ers,42,PF,37,161,254,Duke,,30-40
Isaiah Canaan,Philadelphia 76ers,0,PG,25,152,201,Murray State,947276.0,20-30
Robert Covington,Philadelphia 76ers,33,SF,25,157,215,Tennessee State,1000000.0,20-30
Joel Embiid,Philadelphia 76ers,21,C,22,179,250,Kansas,4626960.0,20-30
Jerami Grant,Philadelphia 76ers,39,SF,22,179,210,Syracuse,845059.0,20-30
Richaun Holmes,Philadelphia 76ers,22,PF,22,154,245,Bowling Green,1074169.0,20-30
Carl Landry,Philadelphia 76ers,7,PF,32,157,248,Purdue,6500000.0,30-40
Kendall Marshall,Philadelphia 76ers,5,PG,24,171,200,North Carolina,2144772.0,20-30
T.J. McConnell,Philadelphia 76ers,12,PG,24,160,200,Arizona,525093.0,20-30
Nerlens Noel,Philadelphia 76ers,4,PF,22,155,228,Kentucky,3457800.0,20-30
Jahlil Okafor,Philadelphia 76ers,8,C,20,159,275,Duke,4582680.0,20-30
Ish Smith,Philadelphia 76ers,1,PG,27,171,175,Wake Forest,947276.0,20-30
Nik Stauskas,Philadelphia 76ers,11,SG,22,169,205,Michigan,2869440.0,20-30
Hollis Thompson,Philadelphia 76ers,31,SG,25,170,206,Georgetown,947276.0,20-30
Christian Wood,Philadelphia 76ers,35,PF,20,150,220,UNLV,525093.0,20-30
Bismack Biyombo,Toronto Raptors,8,C,23,177,245,,2814000.0,20-30
Bruno Caboclo,Toronto Raptors,20,SF,20,151,205,,1524000.0,20-30
DeMarre Carroll,Toronto Raptors,5,SF,29,158,212,Missouri,13600000.0,20-30
DeMar DeRozan,Toronto Raptors,10,SG,26,174,220,USC,10050000.0,20-30
James Johnson,Toronto Raptors,3,PF,29,150,250,Wake Forest,2500000.0,20-30
Cory Joseph,Toronto Raptors,6,PG,24,152,190,Texas,7000000.0,20-30
Kyle Lowry,Toronto Raptors,7,PG,30,159,205,Villanova,12000000.0,30-40
Lucas Nogueira,Toronto Raptors,92,C,23,152,220,,1842000.0,20-30
Patrick Patterson,Toronto Raptors,54,PF,27,176,235,Kentucky,6268675.0,20-30
Norman Powell,Toronto Raptors,24,SG,23,174,215,UCLA,650000.0,20-30
Terrence Ross,Toronto Raptors,31,SF,25,177,195,Washington,3553917.0,20-30
Luis Scola,Toronto Raptors,4,PF,36,169,240,,2900000.0,30-40
Jason Thompson,Toronto Raptors,1,PF,29,162,250,Rider,245177.0,20-30
Jonas Valanciunas,Toronto Raptors,17,C,24,156,255,,4660482.0,20-30
Delon Wright,Toronto Raptors,55,PG,24,152,190,Utah,1509360.0,20-30
Leandro Barbosa,Golden State Warriors,19,SG,33,169,194,,2500000.0,30-40
Harrison Barnes,Golden State Warriors,40,SF,24,157,225,North Carolina,3873398.0,20-30
Andrew Bogut,Golden State Warriors,12,C,31,179,260,Utah,13800000.0,30-40
Ian Clark,Golden State Warriors,21,SG,25,172,175,Belmont,947276.0,20-30
Stephen Curry,Golden State Warriors,30,PG,28,151,190,Davidson,11370786.0,20-30
Festus Ezeli,Golden State Warriors,31,C,26,172,265,Vanderbilt,2008748.0,20-30
Draymond Green,Golden State Warriors,23,PF,26,158,230,Michigan State,14260870.0,20-30
Andre Iguodala,Golden State Warriors,9,SF,32,151,215,Arizona,11710456.0,30-40
Shaun Livingston,Golden State Warriors,34,PG,30,153,192,,5543725.0,30-40
Kevon Looney,Golden State Warriors,36,SF,20,178,220,UCLA,1131960.0,20-30
James Michael McAdoo,Golden State Warriors,20,SF,23,169,240,North Carolina,845059.0,20-30
Brandon Rush,Golden State Warriors,4,SF,30,163,220,Kansas,1270964.0,30-40
Marreese Speights,Golden State Warriors,5,C,28,156,255,Florida,3815000.0,20-30
Klay Thompson,Golden State Warriors,11,SG,26,175,215,Washington State,15501000.0,20-30
Anderson Varejao,Golden State Warriors,18,PF,33,159,273,,289755.0,30-40
Cole Aldrich,Los Angeles Clippers,45,C,27,154,250,Kansas,1100602.0,20-30
Jeff Ayres,Los Angeles Clippers,19,PF,29,160,250,Arizona State,111444.0,20-30
Jamal Crawford,Los Angeles Clippers,11,SG,36,163,195,Michigan,5675000.0,30-40
Branden Dawson,Los Angeles Clippers,22,SF,23,153,225,Michigan State,525093.0,20-30
Jeff Green,Los Angeles Clippers,8,SF,29,165,235,Georgetown,9650000.0,20-30
Blake Griffin,Los Angeles Clippers,32,PF,27,179,251,Oklahoma,18907726.0,20-30
Wesley Johnson,Los Angeles Clippers,33,SF,28,172,215,Syracuse,1100602.0,20-30
DeAndre Jordan,Los Angeles Clippers,6,C,27,166,265,Texas A&M,19689000.0,20-30
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,164,230,UCLA,947276.0,20-30
Chris Paul,Los Angeles Clippers,3,PG,31,168,175,Wake Forest,21468695.0,30-40
Paul Pierce,Los Angeles Clippers,34,SF,38,159,235,Kansas,3376000.0,30-40
Pablo Prigioni,Los Angeles Clippers,9,PG,39,166,185,,947726.0,30-40
JJ Redick,Los Angeles Clippers,4,SG,31,162,190,Duke,7085000.0,30-40
Austin Rivers,Los Angeles Clippers,25,PG,23,175,200,Duke,3110796.0,20-30
C.J. Wilcox,Los Angeles Clippers,30,SG,25,180,195,Washington,1159680.0,20-30
Brandon Bass,Los Angeles Lakers,2,PF,31,162,250,LSU,3000000.0,30-40
Tarik Black,Los Angeles Lakers,28,C,24,167,250,Kansas,845059.0,20-30
Anthony Brown,Los Angeles Lakers,3,SF,23,170,210,Stanford,700000.0,20-30
Kobe Bryant,Los Angeles Lakers,24,SF,37,171,212,,25000000.0,30-40
Jordan Clarkson,Los Angeles Lakers,6,PG,24,159,194,Missouri,845059.0,20-30
Roy Hibbert,Los Angeles Lakers,17,C,29,173,270,Georgetown,15592217.0,20-30
Marcelo Huertas,Los Angeles Lakers,9,PG,33,178,200,,525093.0,30-40
Ryan Kelly,Los Angeles Lakers,4,PF,25,177,230,Duke,1724250.0,20-30
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,173,230,Wyoming,1155600.0,20-30
Julius Randle,Los Angeles Lakers,30,PF,21,154,250,Kentucky,3132240.0,20-30
D'Angelo Russell,Los Angeles Lakers,1,PG,20,164,195,Ohio State,5103120.0,20-30
Robert Sacre,Los Angeles Lakers,50,C,27,154,270,Gonzaga,981348.0,20-30
Louis Williams,Los Angeles Lakers,23,SG,29,158,175,,7000000.0,20-30
Metta World Peace,Los Angeles Lakers,37,SF,36,167,260,St. John's,947276.0,30-40
Nick Young,Los Angeles Lakers,0,SF,31,167,210,USC,5219169.0,30-40
Eric Bledsoe,Phoenix Suns,2,PG,26,169,190,Kentucky,13500000.0,20-30
Devin Booker,Phoenix Suns,1,SG,19,165,206,Kentucky,2127840.0,
Chase Budinger,Phoenix Suns,10,SF,28,159,209,Arizona,206192.0,20-30
Tyson Chandler,Phoenix Suns,4,C,33,165,240,,13000000.0,30-40
Archie Goodwin,Phoenix Suns,20,SG,21,180,200,Kentucky,1160160.0,20-30
John Jenkins,Phoenix Suns,23,SG,25,166,215,Vanderbilt,981348.0,20-30
Brandon Knight,Phoenix Suns,3,PG,24,171,189,Kentucky,13500000.0,20-30
Alex Len,Phoenix Suns,21,C,22,177,260,Maryland,3807120.0,20-30
Jon Leuer,Phoenix Suns,30,PF,27,173,228,Wisconsin,1035000.0,20-30
Phil Pressey,Phoenix Suns,25,PG,25,160,175,Missouri,55722.0,20-30
Ronnie Price,Phoenix Suns,14,PG,32,174,190,Utah Valley,947276.0,30-40
Mirza Teletovic,Phoenix Suns,35,PF,30,164,242,,5500000.0,30-40
P.J. Tucker,Phoenix Suns,17,SF,31,177,245,Texas,5500000.0,30-40
T.J. Warren,Phoenix Suns,12,SF,22,154,230,North Carolina State,2041080.0,20-30
Alan Williams,Phoenix Suns,15,C,23,166,260,UC Santa Barbara,83397.0,20-30
Quincy Acy,Sacramento Kings,13,SF,25,171,240,Baylor,981348.0,20-30
James Anderson,Sacramento Kings,5,SG,27,157,213,Oklahoma State,1015421.0,20-30
Marco Belinelli,Sacramento Kings,3,SG,30,171,210,,6060606.0,30-40
Caron Butler,Sacramento Kings,31,SF,36,162,228,Connecticut,1449187.0,30-40
Omri Casspi,Sacramento Kings,18,SF,27,160,225,,2836186.0,20-30
Willie Cauley-Stein,Sacramento Kings,0,C,22,179,240,Kentucky,3398280.0,20-30
Darren Collison,Sacramento Kings,7,PG,28,158,175,UCLA,5013559.0,20-30
DeMarcus Cousins,Sacramento Kings,15,C,25,159,270,Kentucky,15851950.0,20-30
Seth Curry,Sacramento Kings,30,SG,25,157,185,Duke,947276.0,20-30
Duje Dukan,Sacramento Kings,26,PF,24,174,220,Wisconsin,525093.0,20-30
Rudy Gay,Sacramento Kings,8,SF,29,174,230,Connecticut,12403101.0,20-30
Kosta Koufos,Sacramento Kings,41,C,27,178,265,Ohio State,7700000.0,20-30
Ben McLemore,Sacramento Kings,23,SG,23,173,195,Kansas,3156600.0,20-30
Eric Moreland,Sacramento Kings,25,PF,24,153,238,Oregon State,845059.0,20-30
Rajon Rondo,Sacramento Kings,9,PG,30,175,186,Kentucky,9500000.0,30-40
Cameron Bairstow,Chicago Bulls,41,PF,25,161,250,New Mexico,845059.0,20-30
Aaron Brooks,Chicago Bulls,0,PG,31,175,161,Oregon,2250000.0,30-40
Jimmy Butler,Chicago Bulls,21,SG,26,178,220,Marquette,16407500.0,20-30
Mike Dunleavy,Chicago Bulls,34,SG,35,177,230,Duke,4500000.0,30-40
Cristiano Felicio,Chicago Bulls,6,PF,23,151,275,,525093.0,20-30
Pau Gasol,Chicago Bulls,16,C,35,168,250,,7448760.0,30-40
Taj Gibson,Chicago Bulls,22,PF,30,168,225,USC,8500000.0,30-40
Justin Holiday,Chicago Bulls,7,SG,27,178,185,Washington,947276.0,20-30
Doug McDermott,Chicago Bulls,3,SF,24,154,225,Creighton,2380440.0,20-30
Nikola Mirotic,Chicago Bulls,44,PF,25,163,220,,5543725.0,20-30
E'Twaun Moore,Chicago Bulls,55,SG,27,173,191,Purdue,1015421.0,20-30
Joakim Noah,Chicago Bulls,13,C,31,155,232,Florida,13400000.0,30-40
Bobby Portis,Chicago Bulls,5,PF,21,153,230,Arkansas,1391160.0,20-30
Derrick Rose,Chicago Bulls,1,PG,27,170,190,Memphis,20093064.0,20-30
Tony Snell,Chicago Bulls,20,SF,24,156,200,New Mexico,1535880.0,20-30
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,161,198,Saint Mary's,1147276.0,20-30
Channing Frye,Cleveland Cavaliers,9,PF,33,160,255,Arizona,8193029.0,30-40
Kyrie Irving,Cleveland Cavaliers,2,PG,24,160,193,Duke,16407501.0,20-30
LeBron James,Cleveland Cavaliers,23,SF,31,170,250,,22970500.0,30-40
Richard Jefferson,Cleveland Cavaliers,24,SF,35,164,233,Arizona,947276.0,30-40
Dahntay Jones,Cleveland Cavaliers,30,SG,35,152,225,Duke,,30-40
James Jones,Cleveland Cavaliers,1,SG,35,157,218,Miami (FL),947276.0,30-40
Sasha Kaun,Cleveland Cavaliers,14,C,31,156,260,Kansas,1276000.0,30-40
Kevin Love,Cleveland Cavaliers,0,PF,27,175,251,UCLA,19689000.0,20-30
Jordan McRae,Cleveland Cavaliers,12,SG,25,162,179,Tennessee,111196.0,20-30
Timofey Mozgov,Cleveland Cavaliers,20,C,29,171,275,,4950000.0,20-30
Iman Shumpert,Cleveland Cavaliers,4,SG,25,166,220,Georgia Tech,8988765.0,20-30
J.R. Smith,Cleveland Cavaliers,5,SG,30,168,225,,5000000.0,30-40
Tristan Thompson,Cleveland Cavaliers,13,C,25,162,238,Texas,14260870.0,20-30
Mo Williams,Cleveland Cavaliers,52,PG,33,177,198,Alabama,2100000.0,30-40
Joel Anthony,Detroit Pistons,50,C,33,164,245,UNLV,2500000.0,30-40
Aron Baynes,Detroit Pistons,12,C,29,177,260,Washington State,6500000.0,20-30
Steve Blake,Detroit Pistons,22,PG,36,173,172,Maryland,2170465.0,30-40
Lorenzo Brown,Detroit Pistons,17,PG,25,169,189,North Carolina State,111444.0,20-30
Reggie Bullock,Detroit Pistons,25,SF,25,163,205,North Carolina,1252440.0,20-30
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,166,205,Georgia,2891760.0,20-30
Spencer Dinwiddie,Detroit Pistons,8,PG,23,152,200,Colorado,845059.0,20-30
Andre Drummond,Detroit Pistons,0,C,22,158,279,Connecticut,3272091.0,20-30
Tobias Harris,Detroit Pistons,34,SF,23,163,235,Tennessee,16000000.0,20-30
Darrun Hilliard,Detroit Pistons,6,SF,23,180,205,Villanova,600000.0,20-30
Reggie Jackson,Detroit Pistons,1,PG,26,151,208,Boston College,13913044.0,20-30
Stanley Johnson,Detroit Pistons,3,SF,20,150,245,Arizona,2841960.0,20-30
Jodie Meeks,Detroit Pistons,20,SG,28,157,210,Kentucky,6270000.0,20-30
Marcus Morris,Detroit Pistons,13,PF,26,168,235,Kansas,5000000.0,20-30
Anthony Tolliver,Detroit Pistons,43,PF,31,175,240,Creighton,3000000.0,30-40
Lavoy Allen,Indiana Pacers,5,PF,27,163,255,Temple,4050000.0,20-30
Rakeem Christmas,Indiana Pacers,25,PF,24,163,250,Syracuse,1007026.0,20-30
Monta Ellis,Indiana Pacers,11,SG,30,171,185,,10300000.0,30-40
Paul George,Indiana Pacers,13,SF,26,173,220,Fresno State,17120106.0,20-30
George Hill,Indiana Pacers,3,PG,30,179,188,IUPUI,8000000.0,30-40
Jordan Hill,Indiana Pacers,27,C,28,178,235,Arizona,4000000.0,20-30
Solomon Hill,Indiana Pacers,44,SF,25,171,225,Arizona,1358880.0,20-30
Ty Lawson,Indiana Pacers,10,PG,28,175,195,North Carolina,211744.0,20-30
Ian Mahinmi,Indiana Pacers,28,C,29,159,250,,4000000.0,20-30
C.J. Miles,Indiana Pacers,0,SF,29,164,231,,4394225.0,20-30
Glenn Robinson III,Indiana Pacers,40,SG,22,159,222,Michigan,1100000.0,20-30
Rodney Stuckey,Indiana Pacers,2,PG,30,171,205,Eastern Washington,7000000.0,30-40
Myles Turner,Indiana Pacers,33,PF,20,153,243,Texas,2357760.0,20-30
Shayne Whittington,Indiana Pacers,42,PF,25,169,250,Western Michigan,845059.0,20-30
Joe Young,Indiana Pacers,1,PG,23,153,180,Oregon,1007026.0,20-30
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,166,222,,1953960.0,20-30
Jerryd Bayless,Milwaukee Bucks,19,PG,27,169,200,Arizona,3000000.0,20-30
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,166,190,Syracuse,2399040.0,20-30
Jared Cunningham,Milwaukee Bucks,9,SG,25,176,195,Oregon State,947276.0,20-30
Tyler Ennis,Milwaukee Bucks,11,PG,21,155,194,Syracuse,1662360.0,20-30
John Henson,Milwaukee Bucks,31,PF,25,159,229,North Carolina,2943221.0,20-30
Damien Inglis,Milwaukee Bucks,17,SF,21,160,246,,855000.0,20-30
O.J. Mayo,Milwaukee Bucks,3,SG,28,152,210,USC,8000000.0,20-30
Khris Middleton,Milwaukee Bucks,22,SG,24,170,234,Texas A&M,14700000.0,20-30
Greg Monroe,Milwaukee Bucks,15,C,26,151,265,Georgetown,16407500.0,20-30
Steve Novak,Milwaukee Bucks,6,SF,32,180,225,Marquette,295327.0,30-40
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,170,257,LSU,845059.0,20-30
Jabari Parker,Milwaukee Bucks,12,PF,21,176,250,Duke,5152440.0,20-30
Miles Plumlee,Milwaukee Bucks,18,C,27,171,249,Duke,2109294.0,20-30
Greivis Vasquez,Milwaukee Bucks,21,PG,29,173,217,Maryland,6600000.0,20-30
Rashad Vaughn,Milwaukee Bucks,20,SG,19,152,202,UNLV,1733040.0,
Justin Anderson,Dallas Mavericks,1,SG,22,153,228,Virginia,1449000.0,20-30
J.J. Barea,Dallas Mavericks,5,PG,31,151,185,Northeastern,4290000.0,30-40
Jeremy Evans,Dallas Mavericks,21,SF,28,171,200,Western Kentucky,1100602.0,20-30
Raymond Felton,Dallas Mavericks,2,PG,31,166,205,North Carolina,3950313.0,30-40
Devin Harris,Dallas Mavericks,34,PG,33,171,185,Wisconsin,4053446.0,30-40
David Lee,Dallas Mavericks,42,PF,33,170,245,Florida,2085671.0,30-40
Wesley Matthews,Dallas Mavericks,23,SG,29,173,220,Marquette,16407500.0,20-30
JaVale McGee,Dallas Mavericks,11,C,28,172,270,Nevada,1270964.0,20-30
Salah Mejri,Dallas Mavericks,50,C,29,165,245,,525093.0,20-30
Dirk Nowitzki,Dallas Mavericks,41,PF,37,165,245,,8333334.0,30-40
Zaza Pachulia,Dallas Mavericks,27,C,32,159,275,,5200000.0,30-40
Chandler Parsons,Dallas Mavericks,25,SF,27,160,230,Florida,15361500.0,20-30
Dwight Powell,Dallas Mavericks,7,PF,24,160,240,Stanford,845059.0,20-30
Charlie Villanueva,Dallas Mavericks,3,PF,31,152,232,Connecticut,947276.0,30-40
Deron Williams,Dallas Mavericks,8,PG,31,172,200,Illinois,5378974.0,30-40
Trevor Ariza,Houston Rockets,1,SF,30,179,215,UCLA,8193030.0,30-40
Michael Beasley,Houston Rockets,8,SF,27,168,235,Kansas State,306527.0,20-30
Patrick Beverley,Houston Rockets,2,PG,27,176,185,Arkansas,6486486.0,20-30
Corey Brewer,Houston Rockets,33,SG,30,157,186,Florida,8229375.0,30-40
Clint Capela,Houston Rockets,15,PF,22,153,240,,1242720.0,20-30
Sam Dekker,Houston Rockets,7,SF,22,151,230,Wisconsin,1646400.0,20-30
Andrew Goudelock,Houston Rockets,0,PG,27,156,200,Charleston,200600.0,20-30
James Harden,Houston Rockets,13,SG,26,159,220,Arizona State,15756438.0,20-30
Montrezl Harrell,Houston Rockets,35,PF,22,150,240,Louisville,1000000.0,20-30
Dwight Howard,Houston Rockets,12,C,30,177,265,,22359364.0,30-40
Terrence Jones,Houston Rockets,6,PF,24,158,252,Kentucky,2489530.0,20-30
K.J. McDaniels,Houston Rockets,32,SG,23,162,205,Clemson,3189794.0,20-30
Donatas Motiejunas,Houston Rockets,20,PF,25,171,222,,2288205.0,20-30
Josh Smith,Houston Rockets,5,C,30,178,225,,947276.0,30-40
Jason Terry,Houston Rockets,31,SG,38,173,185,Arizona,947276.0,30-40
Jordan Adams,Memphis Grizzlies,3,SG,21,169,209,UCLA,1404600.0,20-30
Tony Allen,Memphis Grizzlies,9,SG,34,177,213,Oklahoma State,5158539.0,30-40
Chris Andersen,Memphis Grizzlies,7,PF,37,180,245,Blinn College,5000000.0,30-40
Matt Barnes,Memphis Grizzlies,22,SF,36,160,226,UCLA,3542500.0,30-40
Vince Carter,Memphis Grizzlies,15,SG,39,160,220,North Carolina,4088019.0,30-40
Mike Conley,Memphis Grizzlies,11,PG,28,157,175,Ohio State,9588426.0,20-30
Bryce Cotton,Memphis Grizzlies,8,PG,23,180,165,Providence,700902.0,20-30
Jordan Farmar,Memphis Grizzlies,4,PG,29,164,180,UCLA,,20-30
Marc Gasol,Memphis Grizzlies,33,C,31,156,255,,19688000.0,30-40
JaMychal Green,Memphis Grizzlies,0,PF,25,176,227,Alabama,845059.0,20-30
P.J. Hairston,Memphis Grizzlies,19,SF,23,151,230,North Carolina,1201440.0,20-30
Jarell Martin,Memphis Grizzlies,10,PF,22,160,239,LSU,1230840.0,20-30
Ray McCallum,Memphis Grizzlies,5,PG,24,150,190,Detroit,,20-30
Xavier Munford,Memphis Grizzlies,14,PG,24,161,180,Rhode Island,,20-30
Zach Randolph,Memphis Grizzlies,50,PF,34,169,260,Michigan State,9638555.0,30-40
Lance Stephenson,Memphis Grizzlies,1,SF,25,173,230,Cincinnati,9000000.0,20-30
Alex Stepheson,Memphis Grizzlies,35,PF,28,166,270,USC,,20-30
Brandan Wright,Memphis Grizzlies,34,PF,28,172,210,North Carolina,5464000.0,20-30
Alexis Ajinca,New Orleans Pelicans,42,C,28,153,248,,4389607.0,20-30
Ryan Anderson,New Orleans Pelicans,33,PF,28,164,240,California,8500000.0,20-30
Omer Asik,New Orleans Pelicans,3,C,29,180,255,,9213483.0,20-30
Luke Babbitt,New Orleans Pelicans,8,SF,26,160,225,Nevada,1100602.0,20-30
Norris Cole,New Orleans Pelicans,30,PG,27,172,175,Cleveland State,3036927.0,20-30
Dante Cunningham,New Orleans Pelicans,44,PF,29,173,230,Villanova,2850000.0,20-30
Anthony Davis,New Orleans Pelicans,23,PF,23,174,253,Kentucky,7070730.0,20-30
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,161,203,Iowa State,169883.0,20-30
Toney Douglas,New Orleans Pelicans,16,PG,30,166,195,Florida State,1164858.0,30-40
James Ennis,New Orleans Pelicans,4,SF,25,154,210,Long Beach State,845059.0,20-30
Tyreke Evans,New Orleans Pelicans,1,SG,26,178,220,Memphis,10734586.0,20-30
Tim Frazier,New Orleans Pelicans,2,PG,25,157,170,Penn State,845059.0,20-30
Alonzo Gee,New Orleans Pelicans,15,SF,29,161,225,Alabama,1320000.0,20-30
Eric Gordon,New Orleans Pelicans,10,SG,27,180,215,Indiana,15514031.0,20-30
Jordan Hamilton,New Orleans Pelicans,25,SG,25,172,220,Texas,1015421.0,20-30
Jrue Holiday,New Orleans Pelicans,11,PG,25,157,205,UCLA,10595507.0,20-30
Orlando Johnson,New Orleans Pelicans,0,SG,27,162,220,UC Santa Barbara,55722.0,20-30
Kendrick Perkins,New Orleans Pelicans,5,C,31,152,270,,947276.0,30-40
Quincy Pondexter,New Orleans Pelicans,20,SF,28,170,220,Washington,3382023.0,20-30
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,162,240,Texas,19689000.0,30-40
Kyle Anderson,San Antonio Spurs,1,SF,22,167,230,UCLA,1142880.0,20-30
Matt Bonner,San Antonio Spurs,15,C,36,163,235,Florida,947276.0,30-40
Boris Diaw,San Antonio Spurs,33,C,34,154,250,,7500000.0,30-40
Tim Duncan,San Antonio Spurs,21,C,40,161,250,Wake Forest,5250000.0,40-50
Manu Ginobili,San Antonio Spurs,20,SG,38,179,205,,2814000.0,30-40
Danny Green,San Antonio Spurs,14,SG,28,173,215,North Carolina,10000000.0,20-30
Kawhi Leonard,San Antonio Spurs,2,SF,24,163,230,San Diego State,16407500.0,20-30
Boban Marjanovic,San Antonio Spurs,40,C,27,173,290,,1200000.0,20-30
Kevin Martin,San Antonio Spurs,23,SG,33,156,199,Western Carolina,200600.0,30-40
Andre Miller,San Antonio Spurs,24,PG,40,167,200,Utah,250750.0,40-50
Patty Mills,San Antonio Spurs,8,PG,27,157,185,Saint Mary's,3578947.0,20-30
Tony Parker,San Antonio Spurs,9,PG,34,170,185,,13437500.0,30-40
Jonathon Simmons,San Antonio Spurs,17,SG,26,158,195,Houston,525093.0,20-30
David West,San Antonio Spurs,30,PF,35,163,250,Xavier,1499187.0,30-40
Kent Bazemore,Atlanta Hawks,24,SF,26,173,201,Old Dominion,2000000.0,20-30
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,170,205,Michigan,1304520.0,20-30
Kirk Hinrich,Atlanta Hawks,12,SG,35,155,190,Kansas,2854940.0,30-40
Al Horford,Atlanta Hawks,15,C,30,176,245,Florida,12000000.0,30-40
Kris Humphries,Atlanta Hawks,43,PF,31,167,235,Minnesota,1000000.0,30-40
Kyle Korver,Atlanta Hawks,26,SG,35,177,212,Creighton,5746479.0,30-40
Paul Millsap,Atlanta Hawks,4,PF,31,161,246,Louisiana Tech,18671659.0,30-40
Mike Muscala,Atlanta Hawks,31,PF,24,166,240,Bucknell,947276.0,20-30
Lamar Patterson,Atlanta Hawks,13,SG,24,167,225,Pittsburgh,525093.0,20-30
Dennis Schroder,Atlanta Hawks,17,PG,22,152,172,,1763400.0,20-30
